Drug,Gene1,Phenotype1,Gene2,Phenotype2,Recommendation
trimipramine,CYP2C19,Likely Poor Metabolizer,CYP2D6,Poor Metabolizer,"Avoid trimipramine use; If trimipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
trimipramine,CYP2C19,Likely Poor Metabolizer,CYP2D6,Indeterminate,"Avoid tertiary amine use due to potential for sub-optimal response. Consider alternative drug not metabolized by CYP2C19. TCAs without major CYP2C19 metabolism include the secondary amines nortriptyline and desipramine. For tertiary amines, consider a 50% reduction of the recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects."
trimipramine,CYP2C19,Likely Poor Metabolizer,CYP2D6,None,"Avoid tertiary amine use due to potential for sub-optimal response. Consider alternative drug not metabolized by CYP2C19. TCAs without major CYP2C19 metabolism include the secondary amines nortriptyline and desipramine. For tertiary amines, consider a 50% reduction of the recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects."
trimipramine,CYP2C19,Poor Metabolizer,CYP2D6,Ultrarapid Metabolizer,"Avoid trimipramine use; If trimipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
trimipramine,CYP2C19,Poor Metabolizer,CYP2D6,Normal Metabolizer,"Avoid trimipramine use. If trimipramine is warranted, consider a 50% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments."
trimipramine,CYP2C19,Poor Metabolizer,CYP2D6,Intermediate Metabolizer,"Avoid trimipramine use; If trimipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
trimipramine,CYP2C19,Poor Metabolizer,CYP2D6,Poor Metabolizer,"Avoid trimipramine use; If trimipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
trimipramine,CYP2C19,Poor Metabolizer,CYP2D6,Indeterminate,"Avoid tertiary amine use due to potential for sub-optimal response. Consider alternative drug not metabolized by CYP2C19. TCAs without major CYP2C19 metabolism include the secondary amines nortriptyline and desipramine. For tertiary amines, consider a 50% reduction of the recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects."
trimipramine,CYP2C19,Poor Metabolizer,CYP2D6,None,"Avoid tertiary amine use due to potential for sub-optimal response. Consider alternative drug not metabolized by CYP2C19. TCAs without major CYP2C19 metabolism include the secondary amines nortriptyline and desipramine. For tertiary amines, consider a 50% reduction of the recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects."
trimipramine,CYP2C19,Indeterminate,CYP2D6,Ultrarapid Metabolizer,"Avoid tricyclic use due to potential lack of efficacy. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects."
trimipramine,CYP2C19,Indeterminate,CYP2D6,Normal Metabolizer,None
trimipramine,CYP2C19,Indeterminate,CYP2D6,Intermediate Metabolizer,Consider a 25% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects.
trimipramine,CYP2C19,Indeterminate,CYP2D6,Poor Metabolizer,"Avoid tricyclic use due to potential for side effects. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider a 50% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects."
trimipramine,CYP2C19,Indeterminate,CYP2D6,Indeterminate,None
trimipramine,CYP2C19,Indeterminate,CYP2D6,None,None
trimipramine,CYP2C19,None,CYP2D6,Ultrarapid Metabolizer,"Avoid tricyclic use due to potential lack of efficacy. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects."
trimipramine,CYP2C19,None,CYP2D6,Normal Metabolizer,Initiate therapy with recommended starting dose.
trimipramine,CYP2C19,None,CYP2D6,Intermediate Metabolizer,Consider a 25% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects.
trimipramine,CYP2C19,None,CYP2D6,Poor Metabolizer,"Avoid tricyclic use due to potential for side effects. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider a 50% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects."
trimipramine,CYP2C19,None,CYP2D6,Indeterminate,None
trimipramine,CYP2C19,None,CYP2D6,None,None
tropisetron,CYP2D6,Ultrarapid Metabolizer,None,None,"Select alternative drug not predominantly metabolized by CYP2D6 (i.e., granisetron)."
tropisetron,CYP2D6,Normal Metabolizer,None,None,Initiate therapy with recommended starting dose.
tropisetron,CYP2D6,Intermediate Metabolizer,None,None,Insufficient evidence demonstrating clinical impact based on CYP2D6 genotype. Initiate therapy with recommended starting dose.
tropisetron,CYP2D6,Poor Metabolizer,None,None,Insufficient evidence demonstrating clinical impact based on CYP2D6 genotype. Initiate therapy with recommended starting dose.
tropisetron,CYP2D6,Indeterminate,None,None,None
tramadol,CYP2D6,Ultrarapid Metabolizer,None,None,"Avoid tramadol use because of potential for toxicity. If opioid use is warranted, consider a non-codeine opioid."
tramadol,CYP2D6,Normal Metabolizer,None,None,Use tramadol label recommended age- or weight-specific dosing.
tramadol,CYP2D6,Intermediate Metabolizer,None,None,"Use tramadol label recommended age- or weight-specific dosing. If no response and opioid use is warranted, consider non-codeine opioid."
tramadol,CYP2D6,Poor Metabolizer,None,None,"Avoid tramadol use because of possibility of diminished analgesia. If opioid use is warranted, consider a non-codeine opioid."
tramadol,CYP2D6,Indeterminate,None,None,None
tamoxifen,CYP2D6,Ultrarapid Metabolizer,None,None,Avoid moderate and strong CYP2D6 inhibitors. Initiate therapy with recommended standard of care dosing (tamoxifen 20 mg/day).
tamoxifen,CYP2D6,Normal Metabolizer,None,None,Avoid moderate and strong CYP2D6 inhibitors. Initiate therapy with recommended standard of care dosing (tamoxifen 20 mg/day).
tamoxifen,CYP2D6,Intermediate Metabolizer,None,None,"Consider hormonal therapy such as an aromatase inhibitor for postmenopausal women or aromatase inhibitor along with ovarian function suppression in premenopausal women, given that these approaches are superior to tamoxifen regardless of CYP2D6 genotype (PMID 26211827). If aromatase inhibitor use is contraindicated, consideration should be given to use a higher but FDA approved tamoxifen dose (40 mg/day)(PMID 27226358). Avoid CYP2D6 strong to weak inhibitors."
tamoxifen,CYP2D6,Poor Metabolizer,None,None,"Recommend alternative hormonal therapy such as an aromatase inhibitor for postmenopausal women or aromatase inhibitor along with ovarian function suppression in premenopausal women given that these approaches are superior to tamoxifen regardless of CYP2D6 genotype (PMID 26211827) and based on knowledge that CYP2D6 poor metabolizers switched from tamoxifen to anastrozole do not have an increased risk of recurrence (PMID 23213055). Note, higher dose tamoxifen (40 mg/day) increases but does not normalize endoxifen concentrations and can be considered if there are contraindications to aromatase inhibitor therapy (PMID 27226358, 21768473)."
tamoxifen,CYP2D6,Indeterminate,None,None,None
paroxetine,CYP2D6,Ultrarapid Metabolizer,None,None,Select alternative drug not predominantly metabolized by CYP2D6
paroxetine,CYP2D6,Normal Metabolizer,None,None,Initiate therapy with recommended starting dose
paroxetine,CYP2D6,Intermediate Metabolizer,None,None,Initiate therapy with recommended starting dose
paroxetine,CYP2D6,Poor Metabolizer,None,None,"Select alternative drug not predominantly metabolized by CYP2D6 or if paroxetine use warranted, consider a 50% reduction of recommended starting dose and titrate to response."
paroxetine,CYP2D6,Indeterminate,None,None,None
ondansetron,CYP2D6,Ultrarapid Metabolizer,None,None,"Select alternative drug not predominantly metabolized by CYP2D6 (i.e., granisetron)."
ondansetron,CYP2D6,Normal Metabolizer,None,None,Initiate therapy with recommended starting dose.
ondansetron,CYP2D6,Intermediate Metabolizer,None,None,Insufficient evidence demonstrating clinical impact based on CYP2D6 genotype. Initiate therapy with recommended starting dose.
ondansetron,CYP2D6,Poor Metabolizer,None,None,Insufficient evidence demonstrating clinical impact based on CYP2D6 genotype. Initiate therapy with recommended starting dose.
ondansetron,CYP2D6,Indeterminate,None,None,None
nortriptyline,CYP2D6,Ultrarapid Metabolizer,None,None,"Avoid tricyclic use due to potential lack of efficacy. Consider alternative drug not metabolized by CYP2D6. If a tricyclic antidepressant is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects. Utilize therapeutic drug monitoring to guide dose adjustments."
nortriptyline,CYP2D6,Normal Metabolizer,None,None,Initiate therapy with recommended starting dose
nortriptyline,CYP2D6,Intermediate Metabolizer,None,None,Consider a 25% reduction of recommended starting dose. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects. Utilize therapeutic drug monitoring to guide dose adjustments.
nortriptyline,CYP2D6,Poor Metabolizer,None,None,"Avoid tricyclic use due to potential for side effects. Consider alternative drug not metabolized by CYP2D6. If a tricyclic antidepressant is warranted, consider a 50% reduction of recommended starting dose. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects. Utilize therapeutic drug monitoring to guide dose adjustments."
nortriptyline,CYP2D6,Indeterminate,None,None,None
hydrocodone,CYP2D6,Ultrarapid Metabolizer,None,None,No recommendation for hydrocodone therapy because of minimal evidence regarding adverse events or analgesia.
hydrocodone,CYP2D6,Normal Metabolizer,None,None,Use hydrocodone label recommended age- or weight-specific dosing.
hydrocodone,CYP2D6,Intermediate Metabolizer,None,None,"Use hydrocodone label recommended age- or weight-specific dosing. If no response and opioid use is warranted, consider non-codeine or non-tramadol opioid."
hydrocodone,CYP2D6,Poor Metabolizer,None,None,"Use hydrocodone label recommended age- or weight-specific dosing. If no response and opioid use is warranted, consider non-codeine and non-tramadol opioid."
hydrocodone,CYP2D6,Indeterminate,None,None,None
fluvoxamine,CYP2D6,Ultrarapid Metabolizer,None,None,None
fluvoxamine,CYP2D6,Normal Metabolizer,None,None,Initiate therapy with recommended starting dose.
fluvoxamine,CYP2D6,Intermediate Metabolizer,None,None,Initiate therapy with recommended starting dose.
fluvoxamine,CYP2D6,Poor Metabolizer,None,None,Consider a 25-50% reduction of recommended starting dose and titrate to response or use an alternative drug not metabolized by CYP2D6.
fluvoxamine,CYP2D6,Indeterminate,None,None,None
desipramine,CYP2D6,Ultrarapid Metabolizer,None,None,"Avoid tricyclic use due to potential lack of efficacy. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects. Utilize therapeutic drug monitoring to guide dose adjustments."
desipramine,CYP2D6,Normal Metabolizer,None,None,Initiate therapy with recommended starting dose
